date,state,new_deaths,total_deaths,new_cases,total_cases
2020-06-30,WP KUALA LUMPUR,0,25,0,2436
2020-07-01,SELANGOR,0,17,1,2048
2020-07-01,SABAH,0,7,0,372
2020-07-01,WP KUALA LUMPUR,0,25,0,2436
2020-07-02,SELANGOR,0,17,0,2048
2020-07-02,SABAH,0,7,1,373
2020-07-02,WP KUALA LUMPUR,0,25,1,2437
2020-07-03,SELANGOR,0,17,3,2051
2020-07-03,SABAH,0,7,2,375
2020-07-03,WP KUALA LUMPUR,0,25,0,2437
2020-07-04,SELANGOR,0,17,7,2058
2020-07-04,SABAH,0,7,1,376
2020-07-04,WP KUALA LUMPUR,0,25,1,2438
2020-07-05,SELANGOR,0,17,2,2060
2020-07-05,SABAH,0,7,2,378
2020-07-05,WP KUALA LUMPUR,0,25,0,2438
2020-07-06,SELANGOR,0,17,2,2062
2020-07-06,SABAH,0,7,0,378
2020-07-06,WP KUALA LUMPUR,0,25,1,2439
2020-07-07,SELANGOR,0,17,3,2065
2020-07-07,SABAH,0,7,0,378
2020-07-07,WP KUALA LUMPUR,0,25,2,2441
2020-07-08,SELANGOR,0,17,1,2066
2020-07-08,SABAH,0,7,0,378
2020-07-08,WP KUALA LUMPUR,0,25,1,2442
2020-07-09,SELANGOR,0,17,4,2070
2020-07-09,SABAH,0,7,0,378
2020-07-09,WP KUALA LUMPUR,0,25,0,2442
2020-07-10,SELANGOR,0,17,6,2076
2020-07-10,SABAH,0,7,0,378
2020-07-10,WP KUALA LUMPUR,0,25,3,2445
2020-07-11,SELANGOR,0,17,3,2079
2020-07-11,SABAH,0,7,1,379
2020-07-11,WP KUALA LUMPUR,0,25,0,2445
2020-07-12,SELANGOR,0,17,9,2088
2020-07-12,SABAH,0,7,1,380
2020-07-12,WP KUALA LUMPUR,0,25,0,2445
2020-07-13,SELANGOR,0,17,4,2092
2020-07-13,SABAH,0,7,0,380
2020-07-13,WP KUALA LUMPUR,0,25,0,2445
2020-07-14,SELANGOR,0,17,1,2093
2020-07-14,SABAH,0,7,0,380
2020-07-14,WP KUALA LUMPUR,0,25,1,2446
2020-07-15,SELANGOR,0,17,1,2094
2020-07-15,SABAH,0,7,0,380
2020-07-15,WP KUALA LUMPUR,0,25,1,2447
2020-07-16,SELANGOR,0,17,0,2094
2020-07-16,SABAH,0,7,0,380
2020-07-16,WP KUALA LUMPUR,0,25,1,2448
2020-07-17,SELANGOR,0,17,4,2098
2020-07-17,SABAH,0,7,1,381
2020-07-17,WP KUALA LUMPUR,0,25,1,2449
2020-07-18,SELANGOR,0,17,1,2099
2020-07-18,SABAH,0,7,0,381
2020-07-18,WP KUALA LUMPUR,0,25,0,2449
2020-07-19,SELANGOR,0,17,4,2103
2020-07-19,SABAH,0,7,1,382
2020-07-19,WP KUALA LUMPUR,0,25,1,2450
2020-07-20,SELANGOR,0,17,4,2107
2020-07-20,SABAH,0,7,0,382
2020-07-20,WP KUALA LUMPUR,0,25,0,2450
2020-07-21,SELANGOR,0,17,2,2109
2020-07-21,SABAH,0,7,1,383
2020-07-21,WP KUALA LUMPUR,0,25,1,2451
2020-07-22,SELANGOR,0,17,3,2112
2020-07-22,SABAH,0,7,0,383
2020-07-22,WP KUALA LUMPUR,0,25,2,2453
2020-07-23,SELANGOR,0,17,0,2112
2020-07-23,SABAH,0,7,1,384
2020-07-23,WP KUALA LUMPUR,0,25,1,2454
2020-07-24,SELANGOR,0,17,3,2115
2020-07-24,SABAH,0,7,0,384
2020-07-24,WP KUALA LUMPUR,0,25,3,2457
2020-07-25,SELANGOR,0,17,3,2118
2020-07-25,SABAH,0,7,0,384
2020-07-25,WP KUALA LUMPUR,0,25,1,2458
2020-07-26,SELANGOR,0,17,0,2118
2020-07-26,SABAH,0,7,1,385
2020-07-26,WP KUALA LUMPUR,0,25,2,2460
2020-07-27,SELANGOR,0,17,1,2119
2020-07-27,SABAH,0,7,4,389
2020-07-27,WP KUALA LUMPUR,0,25,2,2462
2020-07-28,SELANGOR,0,17,0,2119
2020-07-28,SABAH,0,7,3,392
2020-07-28,WP KUALA LUMPUR,0,25,4,2466
2020-07-29,SELANGOR,0,17,2,2121
2020-07-29,SABAH,0,7,1,393
2020-07-29,WP KUALA LUMPUR,0,25,6,2472
2020-07-30,SELANGOR,0,17,1,2122
2020-07-30,SABAH,0,7,4,397
2020-07-30,WP KUALA LUMPUR,0,25,1,2473
2020-07-31,SELANGOR,0,17,1,2123
2020-07-31,SABAH,1,8,1,398
2020-07-31,WP KUALA LUMPUR,0,25,3,2476
2020-08-01,SELANGOR,0,17,6,2129
2020-08-01,SABAH,0,8,0,398
2020-08-01,WP KUALA LUMPUR,0,25,0,2476
2020-08-02,SELANGOR,0,17,1,2130
2020-08-02,SABAH,0,8,2,400
2020-08-02,WP KUALA LUMPUR,0,25,0,2476
2020-08-03,SELANGOR,0,17,0,2130
2020-08-03,SABAH,0,8,0,400
2020-08-03,WP KUALA LUMPUR,0,25,0,2476
2020-08-04,SELANGOR,0,17,0,2130
2020-08-04,SABAH,0,8,0,400
2020-08-04,WP KUALA LUMPUR,0,25,0,2476
2020-08-05,SELANGOR,0,17,0,2130
2020-08-05,SABAH,0,8,2,402
2020-08-05,WP KUALA LUMPUR,0,25,15,2491
2020-08-06,SELANGOR,0,17,0,2130
2020-08-06,SABAH,0,8,4,406
2020-08-06,WP KUALA LUMPUR,0,25,2,2493
2020-08-07,SELANGOR,0,17,2,2132
2020-08-07,SABAH,0,8,4,410
2020-08-07,WP KUALA LUMPUR,0,25,3,2496
2020-08-08,SELANGOR,0,17,1,2133
2020-08-08,SABAH,0,8,0,410
2020-08-08,WP KUALA LUMPUR,0,25,3,2499
2020-08-09,SELANGOR,0,17,1,2134
2020-08-09,SABAH,0,8,0,410
2020-08-09,WP KUALA LUMPUR,0,25,7,2506
2020-08-10,SELANGOR,0,17,4,2138
2020-08-10,SABAH,0,8,0,410
2020-08-10,WP KUALA LUMPUR,0,25,1,2507
2020-08-11,SELANGOR,0,17,1,2139
2020-08-11,SABAH,0,8,1,411
2020-08-11,WP KUALA LUMPUR,0,25,6,2513
2020-08-12,SELANGOR,0,17,0,2139
2020-08-12,SABAH,0,8,4,415
2020-08-12,WP KUALA LUMPUR,0,25,3,2517
2020-08-13,SELANGOR,0,17,3,2142
2020-08-13,SABAH,0,8,0,415
2020-08-13,WP KUALA LUMPUR,0,25,3,2520
2020-08-14,SELANGOR,0,17,2,2144
2020-08-14,SABAH,0,8,0,415
2020-08-14,WP KUALA LUMPUR,0,25,4,2523
2020-08-15,SELANGOR,0,17,0,2144
2020-08-15,SABAH,0,8,0,415
2020-08-15,WP KUALA LUMPUR,0,25,6,2529
2020-08-16,SELANGOR,0,17,5,2149
2020-08-16,SABAH,0,8,1,416
2020-08-16,WP KUALA LUMPUR,0,25,13,2542
2020-08-17,SELANGOR,0,17,1,2150
2020-08-17,SABAH,0,8,0,416
2020-08-17,WP KUALA LUMPUR,0,25,2,2544
2020-08-18,SELANGOR,0,17,0,2150
2020-08-18,SABAH,0,8,0,416
2020-08-18,WP KUALA LUMPUR,0,25,4,2548
2020-08-19,SELANGOR,0,17,0,2150
2020-08-19,SABAH,0,8,0,416
2020-08-19,WP KUALA LUMPUR,0,25,3,2551
2020-08-20,SELANGOR,0,17,1,2151
2020-08-20,SABAH,0,8,0,416
2020-08-20,WP KUALA LUMPUR,0,25,0,2551
2020-08-21,SELANGOR,0,17,2,2153
2020-08-21,SABAH,0,8,0,416
2020-08-21,WP KUALA LUMPUR,0,25,3,2554
2020-08-22,SELANGOR,0,17,0,2153
2020-08-22,SABAH,0,8,1,417
2020-08-22,WP KUALA LUMPUR,0,25,1,2555
2020-08-23,SELANGOR,0,17,2,2155
2020-08-23,SABAH,0,8,0,417
2020-08-23,WP KUALA LUMPUR,0,25,3,2558
2020-08-24,SELANGOR,0,17,0,2155
2020-08-24,SABAH,0,8,0,417
2020-08-24,WP KUALA LUMPUR,0,25,2,2560
2020-08-25,SELANGOR,0,17,3,2158
2020-08-25,SABAH,0,8,0,417
2020-08-25,WP KUALA LUMPUR,0,25,0,2560
2020-08-26,SELANGOR,0,17,1,2159
2020-08-26,SABAH,0,8,0,417
2020-08-26,WP KUALA LUMPUR,0,25,0,2560
2020-08-27,SELANGOR,0,17,2,2161
2020-08-27,SABAH,0,8,0,417
2020-08-27,WP KUALA LUMPUR,0,25,0,2560
2020-08-28,SELANGOR,0,17,3,2164
2020-08-28,SABAH,0,8,0,417
2020-08-28,WP KUALA LUMPUR,0,25,5,2565
2020-08-29,SELANGOR,0,17,2,2166
2020-08-29,SABAH,0,8,0,417
2020-08-29,WP KUALA LUMPUR,0,25,8,2573
2020-08-30,SELANGOR,0,17,1,2167
2020-08-30,SABAH,0,8,0,417
2020-08-30,WP KUALA LUMPUR,0,25,14,2587
2020-08-31,SELANGOR,0,17,4,2171
2020-08-31,SABAH,0,8,0,417
2020-08-31,WP KUALA LUMPUR,0,25,0,2587
2020-09-01,SELANGOR,0,17,3,2174
2020-09-01,SABAH,0,8,9,426
2020-09-01,WP KUALA LUMPUR,0,25,0,2587
2020-09-02,SELANGOR,0,17,1,2175
2020-09-02,SABAH,0,8,0,426
2020-09-02,WP KUALA LUMPUR,0,25,4,2591
2020-09-03,SELANGOR,0,17,0,2175
2020-09-03,SABAH,0,8,6,432
2020-09-03,WP KUALA LUMPUR,0,25,1,2592
2020-09-04,SELANGOR,0,17,2,2177
2020-09-04,SABAH,0,8,0,432
2020-09-04,WP KUALA LUMPUR,0,25,7,2599
2020-09-05,SELANGOR,0,17,0,2177
2020-09-05,SABAH,0,8,1,433
2020-09-05,WP KUALA LUMPUR,0,25,4,2603
2020-09-06,SELANGOR,0,17,0,2177
2020-09-06,SABAH,0,8,2,435
2020-09-06,WP KUALA LUMPUR,0,25,3,2606
2020-09-07,SELANGOR,0,17,2,2179
2020-09-07,SABAH,0,8,51,486
2020-09-07,WP KUALA LUMPUR,0,25,4,2610
2020-09-08,SELANGOR,0,17,9,2188
2020-09-08,SABAH,0,8,62,548
2020-09-08,WP KUALA LUMPUR,0,25,5,2615
2020-09-09,SELANGOR,0,17,1,2189
2020-09-09,SABAH,0,8,4,552
2020-09-09,WP KUALA LUMPUR,0,25,1,2616
2020-09-10,SELANGOR,0,17,1,2190
2020-09-10,SABAH,0,8,40,592
2020-09-10,WP KUALA LUMPUR,0,25,0,2616
2020-09-11,SELANGOR,0,17,1,2191
2020-09-11,SABAH,0,8,167,759
2020-09-11,WP KUALA LUMPUR,0,25,0,2616
2020-09-12,SELANGOR,0,17,2,2193
2020-09-12,SABAH,0,8,49,808
2020-09-12,WP KUALA LUMPUR,0,25,2,2618
2020-09-13,SELANGOR,0,17,1,2194
2020-09-13,SABAH,0,8,31,839
2020-09-13,WP KUALA LUMPUR,0,25,1,2619
2020-09-14,SELANGOR,0,17,0,2194
2020-09-14,SABAH,0,8,25,864
2020-09-14,WP KUALA LUMPUR,0,25,1,2620
2020-09-15,SELANGOR,0,17,5,2199
2020-09-15,SABAH,0,8,13,877
2020-09-15,WP KUALA LUMPUR,0,25,5,2625
2020-09-16,SELANGOR,0,17,0,2199
2020-09-16,SABAH,0,8,60,937
2020-09-16,WP KUALA LUMPUR,0,25,0,2625
2020-09-17,SELANGOR,0,17,3,2202
2020-09-17,SABAH,0,8,8,945
2020-09-17,WP KUALA LUMPUR,0,25,0,2626
2020-09-18,SELANGOR,0,17,3,2205
2020-09-18,SABAH,1,9,91,1036
2020-09-18,WP KUALA LUMPUR,0,25,0,2625
2020-09-19,SELANGOR,0,17,1,2206
2020-09-19,SABAH,0,9,8,1044
2020-09-19,WP KUALA LUMPUR,0,25,2,2627
2020-09-20,SELANGOR,0,17,4,2210
2020-09-20,SABAH,0,9,36,1080
2020-09-20,WP KUALA LUMPUR,0,25,6,2633
2020-09-21,SELANGOR,0,17,4,2214
2020-09-21,SABAH,0,9,49,1129
2020-09-21,WP KUALA LUMPUR,0,25,3,2636
2020-09-22,SELANGOR,0,17,1,2215
2020-09-22,SABAH,0,9,60,1189
2020-09-22,WP KUALA LUMPUR,0,25,9,2645
2020-09-23,SELANGOR,0,17,2,2217
2020-09-23,SABAH,2,11,134,1323
2020-09-23,WP KUALA LUMPUR,0,25,5,2650
2020-09-24,SELANGOR,0,17,3,2220
2020-09-24,SABAH,0,11,63,1386
2020-09-24,WP KUALA LUMPUR,0,25,0,2650
2020-09-25,SELANGOR,0,17,2,2222
2020-09-25,SABAH,0,11,97,1483
2020-09-25,WP KUALA LUMPUR,0,25,2,2652
2020-09-26,SELANGOR,0,17,2,2224
2020-09-26,SABAH,0,11,64,1547
2020-09-26,WP KUALA LUMPUR,0,25,6,2658
2020-09-27,SELANGOR,0,17,11,2235
2020-09-27,SABAH,1,12,124,1671
2020-09-27,WP KUALA LUMPUR,0,25,6,2664
2020-09-28,SELANGOR,0,17,11,2246
2020-09-28,SABAH,0,12,98,1769
2020-09-28,WP KUALA LUMPUR,0,25,1,2665
2020-09-29,SELANGOR,0,17,15,2261
2020-09-29,SABAH,0,12,73,1842
2020-09-29,WP KUALA LUMPUR,0,25,1,2666
2020-09-30,SELANGOR,0,17,10,2271
2020-09-30,SABAH,1,13,35,1877
2020-09-30,WP KUALA LUMPUR,0,25,6,2672
2020-10-01,SELANGOR,0,17,13,2284
2020-10-01,SABAH,0,13,118,1995
2020-10-01,WP KUALA LUMPUR,0,25,14,2686
2020-10-02,SELANGOR,0,17,31,2315
2020-10-02,SABAH,0,13,113,2108
2020-10-02,WP KUALA LUMPUR,0,25,1,2687
2020-10-03,SELANGOR,0,17,32,2347
2020-10-03,SABAH,1,14,155,2263
2020-10-03,WP KUALA LUMPUR,0,25,4,2691
2020-10-04,SELANGOR,0,17,31,2378
2020-10-04,SABAH,0,14,126,2389
2020-10-04,WP KUALA LUMPUR,0,25,3,2694
2020-10-05,SELANGOR,0,17,34,2412
2020-10-05,SABAH,0,14,130,2519
2020-10-05,WP KUALA LUMPUR,0,25,7,2701
2020-10-06,SELANGOR,0,17,39,2451
2020-10-06,SABAH,3,17,219,2738
2020-10-06,WP KUALA LUMPUR,0,25,6,2707
2020-10-07,SELANGOR,0,17,20,2471
2020-10-07,SABAH,0,17,282,3020
2020-10-07,WP KUALA LUMPUR,0,25,4,2711
2020-10-08,SELANGOR,0,17,36,2507
2020-10-08,SABAH,5,22,271,3291
2020-10-08,WP KUALA LUMPUR,0,25,12,2723
2020-10-09,SELANGOR,0,17,24,2531
2020-10-09,SABAH,6,28,274,3565
2020-10-09,WP KUALA LUMPUR,0,25,10,2733
2020-10-10,SELANGOR,0,17,44,2575
2020-10-10,SABAH,3,31,277,3842
2020-10-10,WP KUALA LUMPUR,0,25,6,2739
2020-10-11,SELANGOR,0,17,26,2601
2020-10-11,SABAH,2,33,488,4330
2020-10-11,WP KUALA LUMPUR,0,25,15,2754
2020-10-12,SELANGOR,0,17,69,2670
2020-10-12,SABAH,2,35,291,4621
2020-10-12,WP KUALA LUMPUR,0,25,28,2782
2020-10-13,SELANGOR,0,17,76,2746
2020-10-13,SABAH,4,39,443,5064
2020-10-13,WP KUALA LUMPUR,0,25,10,2792
